route,pir,total_rec_packtess,tota_rec_flits,rec_ideal_flits_ratio,avg_wireless_util,global_avg_delay_cycles,max_delay_cycles,network_throuput,avg_ip_throuput,total_energy,dynamic_energy,static_energy
XY,0.042,4670,37352,0.771991,0,1180.67,3883,4.15022,0.259389,2.45759e-06,4.8234e-07,1.97525e-06
XY,0.043,4712,37708,0.761224,0,1246.22,3897,4.18978,0.261861,2.46139e-06,4.86134e-07,1.97525e-06
XY,0.043,4622,36968,0.746286,0,1262.84,4420,4.10756,0.256722,2.45045e-06,4.752e-07,1.97525e-06
XY,0.043,4622,36968,0.746286,0,1262.84,4420,4.10756,0.256722,2.45045e-06,4.752e-07,1.97525e-06
XY,0.043,4680,37444,0.755895,0,1328.38,4927,4.16044,0.260028,2.45686e-06,4.81608e-07,1.97525e-06
XY,0.043,4680,37444,0.755895,0,1328.38,4927,4.16044,0.260028,2.45686e-06,4.81608e-07,1.97525e-06
XY,0.044,4775,38206,0.753748,0,1403.67,4176,4.24511,0.265319,2.46246e-06,4.87206e-07,1.97525e-06
XY,0.044,4715,37712,0.744003,0,1351.1,4125,4.19022,0.261889,2.45754e-06,4.82287e-07,1.97525e-06
XY,0.044,4715,37712,0.744003,0,1351.1,4125,4.19022,0.261889,2.45754e-06,4.82287e-07,1.97525e-06
XY,0.044,4668,37338,0.736624,0,1405.63,4662,4.14867,0.259292,2.45676e-06,4.81509e-07,1.97525e-06
